"Checkbox","Secteur_activite","Forme_juridique","Code_Activite_Compte","Libelle_Activite_Compte","Code_Centre","Libelle_Centre","Code_Region","Libelle_Region","Poste_Itinerant","Code_Nature","Libelle_Nature","Code_Nature_juridique_Client","Libelle_Nature_juridique_Client","Critere_SLA","Activite_Batiment","icone","Symptome_Reference","Parametre_Contrat_Type","Limite_Contrat_Type","Code_Domaine","Libelle_Domaine","Code_Sous-domaine","Libelle_Sous-domaine","Contractuel","Importance_Equipement","Criticite_Demande","Priorite_Espace","Code_Titre","Libelle_Titre","Langue","Outil_Energies","Code_Occupation","Libelle_Occupation ","Type_Operation","Zone_Astreinte","Type_Prestations_FM","Classification_Site","Statut_Equipement","Etat_Fonctionnement","Etat_Sante","Origine","Territoire","Maintenance_Type","Code_Sous_Famille","Libelle_Sous_Famille","Code_Famille","Libelle_Famille"
"","","","","","","","","","","","","","","","","","","","","","","900.30","","","","","","","","","","","","","","","","","","","","","","010.30.EXT.VMC","VMC entrainement direct","010.40.CSE","Cuves de stockage d'eau glacée"
"","","","","","","","","","","","","","","","","","","","","","","900.40","","","","","","","","","","","","","","","","","","","","","","010.30.FIL.FIL","Filtration","010.40.CSG","Cuves de stockage de glace"
"","","","","","","","","","","","","","","","","","","","","","","900.50","","","","","","","","","","","","","","","","","","","","","","010.30.FTI.FIL","Filtre à Tamis traitement air","010.40.DRY","Dry cooler"
"","","","","","","","","","","","","","","","","","","","","","","910.10","","","","","","","","","","","","","","","","","","","","","","010.30.GAI.GAI","Gaines","010.40.ECO","Echangeur eau glacée"
"","","","","","","","","","","","","","","","","","","","","","","910.20","","","","","","","","","","","","","","","","","","","","","","010.30.HEL.HEL","Héliothermes","010.40.FMO","Filtres magnétiques"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.HUM.INF","Infrarouge","010.40.FTP","Filtres à tamis production froid"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.HUM.VAD","Vapeur directe","010.40.GFR","Groupes froids"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.HUM.VAI","Vapeur indirecte","010.40.GMO","Groupe maintien de pression"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.LAA.LAV","Laveurs d'air","010.40.GPO","Groupe pompes jumelées circulation réseau EG"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.MOD.MOD","Moduline","010.40.PBO","Pots à boue"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.OVM.OUV","Ouvrant de Ventilation Motorisé","010.40.PCA","Pompes à chaleur Production"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.PAC.ALL","Reversible boucle d'eau (Allège)","010.40.PCR","Pompe circulation réseau EG"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.PAC.RAE","Reversible air/eau","010.40.REG","Réseau eau glacée"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.PAC.REE","Reversible eau/eau","010.40.TAE","Tour aéroréfrigérantes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.PCD.PUI","Puits canadien","010.40.VEO","Vase d'expansion"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.PEG.POU","Poutres climatiques","010.40.VRM","Vanne de régulation motorisée réseaux EG"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.PRO.INT","Intervention propreté rsx de souffl.","020.10.BDC","Batteries de condensateur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.PUR.PUR","Purificateur d'air","020.10.BHT","Boucle Haute Tension"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.RCY.REC","Recycleurs","020.10.CAR","Cellules d'arrivée"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.RGT.MAN","Manuel","020.10.CBR","Coffret de Batterie de Relance Cellule HT"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.RGT.MOT","Motorisé","020.10.COG","Cogénérateur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.ROO.ROO","Roof-top","020.10.CPT","Compteurs et Sous compteurs Arrivée Electricité"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.SOU.SOU","Soufflage","020.10.PVO","Panneaux photovoltaïques"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.SPL.SPL","Split-systèmes (Unitées intérieures + Groupe)","020.10.TRA","Transformateurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.STA.STA","Station météorologique","020.20.AEN","Ateliers d'énergie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.SVE.SYS","Systèmes de ventilations VMC","020.20.BAE","Batteries Atelier d'energie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.UEV.UNI","Unitée extérieure VRV","020.20.BON","Batteries onduleurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.UIV.UNI","Unitée intérieure VRV","020.20.CUV","Cuve à fioul"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.UTA.UNI","Unités de traitement d'air","020.20.GEL","Groupes électrogènes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.VCO.BOU","Sur boucle","020.20.OND","Onduleurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.VCO.PAC","Sur PAC","020.20.TAS","Tableaux /Armoires secours"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.30.VSO.VEN","Ventilateur autonome d'appoint","020.20.TGS","Tableaux Général de Secours (TGS)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.CFF.CON","Contrôle réglementaire Fluide frigo","020.30.ACE","Tableaux divisionnaires"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.CPF.COM","Compteur et sous compteur production froid","020.30.APR","Armoires de puissance et régulation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.CSE.CUV","Cuves de stockage d'eau glacée","020.30.CDE","Sous compteurs Distribution Elec"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.CSG.CUV","Cuves de stockage de glace","020.30.CMT","Colonnes montantes distribution électrique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.DRY.DRY","Dry cooler","020.30.CNA","Canalis"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.ECO.PLA","A plaque","020.30.CRF","Contrôle réglementaire électrique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.ECO.TUB","Tubulaire","020.30.GOL","Goulotte électrique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.FMO.FIL","Filtres magnétiques","020.30.STS","Système de Transfert Statique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.FTP.FIL","Filtres à tamis production froid","020.30.TGB","TGBT"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.GFR.CAI","Condenseur à air","020.30.TRI","Transformateur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.GFR.CEA","Condenseur à eau","020.40.BCE","Barriere de contention electrique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.GFR.PIS","A piston","020.40.CHV","Sèche-Cheveux"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.GFR.SCR","Scroll","020.40.CIF","Compteur d'impact foudres"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.GFR.VIS","A vis","020.40.COM","Commandes (infrarouge passif"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.GMO.GRO","Groupe maintien de pression","020.40.EEX","Eclairage extérieur (candélabres"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.GPO.GRO","Groupe pompes jumelées circulation réseau EG","020.40.EIN","Eclairage intérieur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.PBO.POT","Pots à boue","020.40.IEL","Interrupteur électrique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.PCA.POM","Pompes à chaleur Production","020.40.LGA","Lanterne gaz extérieure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.PCR.POM","Pompe circulation réseau EG","020.40.PAR","Paratonnerres"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.REG.RES","Réseau eau glacée","020.40.PBR","Prises de courant et boitiers de raccordement"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.TAE.CFR","Circuit fermé","020.40.PDS","Projecteur de stade"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.TAE.COS","Circuit ouvert Soufflage Ent. Direct","020.40.SEM","Sèche-mains"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.TAE.COU","Circuit ouvert","030.50.CAC","Contrôle d'accès"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.VEO.VAS","Vase d'expansion","030.50.CEN","Coffret d'énergie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","010.40.VRM.VAN","Vanne de régulation motorisée réseaux EG","030.50.CTE","Centrale d'alarme technique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.BDC.BAT","Batteries de condensateur","030.50.DIN","Anti-intrusion"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.BHT.BOU","Boucle Haute Tension","030.50.VSE","Vidéo surveillance extérieure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.CAR.CEL","Cellules d'arrivée","030.50.VSI","Vidéo surveillance intérieure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.CBR.COF","Coffret de Batterie de Relance Cellule HT","030.60.AMA","Autocommutateur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.COG.COG","Cogénérateur","030.60.ATA","Automate"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.CPT.ELG","Electrique général","030.60.AVI","Equipements audiovisuels"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.CPT.ELJ","Electrique tarif jaune","030.60.BBA","Baies de brassage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.CPT.ELV","Electrique tarif vert","030.60.DHE","Distribution d'heure (horloge)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.CPT.ENE","Energie","030.60.ESO","Equipements de sonorisation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.PVO.PAN","Panneaux photovoltaïques","030.60.INT","Interphonie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.TRA.HUI","Huile","030.60.PRJ","Prises RJ( 45.11"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.10.TRA.SEC","Sec","030.60.SON","Sonorisation de sécurité"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.20.AEN.ATE","Ateliers d'énergie","030.60.SWI","Commutateur Switch"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.20.BAE.BAT","Batteries Atelier d'energie","030.60.TEL","Téléphonie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.20.BON.BAT","Batteries onduleurs","030.60.TMM","Terminaux Multi-Média"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.20.CUV.CUV","Cuve à fioul","030.60.TST","Transmetteur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.20.GEL.GRO","Groupes électrogènes","030.60.VDI","VDI"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.20.OND.OND","Onduleurs","030.70.GTC","Supervision GTC"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.20.TAS.TAB","Tableaux /Armoires secours","030.70.RGC","Régulation GTB"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.20.TGS.TAB","Tableaux Général de Secours (TGS)","030.70.SGT","Supervision GTB"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.ACE.ARM","Armoire éléctrique (Armoires","030.80.DFE","Détection Fuite d'eau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.ACE.COF","Coffret éléctrique","030.80.DFU","Détection Fuel"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.ACE.TAB","Tableau éléctrique","030.80.DGA","Détection Gaz"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.APR.ARM","Armoires de puissance et régulation","030.80.DHY","Détection Hydrogène"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.CDE.SOU","Sous compteurs Distribution Elec","030.90.STA","Supervision TAL"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.CMT.COL","Colonnes montantes distribution électrique","031.10.BAS","Bac à sable"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.CNA.CAN","Canalis","031.10.BIN","Bâche incendie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.CRF.CON","Contrôle réglementaire Electrique","031.10.COC","Colonnes chargées"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.GOL.GOU","Goulotte électrique","031.10.CRI","Contrôle réglementaire Incendie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.STS.SYS","Système de Transfert Statique","031.10.CSH","Colonnes sèches"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.TGB.TGB","TGBT","031.10.DPE","Détecteur de présence d'eau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.30.TRI.TRA","Transformateur","031.10.EDY","Eléments dynamiques : surppresseur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.BCE.BAR","Barriere de contention electrique","031.10.ETI","Extincteurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.CHV.SEC","Sèche-Cheveux","031.10.EXI","Extinction automatique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.CIF.COM","Compteur d'impact foudres","031.10.MOE","Mousses extinctrice"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.COM.COM","Commandes (infrarouge passif","031.10.PIN","Poteaux d'incendie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.EEX.ENS","Enseigne lumineuse","031.10.RIA","RIA"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.EEX.GRA","Grande hauteur (candélabre","031.10.SPG","Système de protection gaz"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.EIN.ECL","Eclairage intérieur","031.10.SPR","Sprinklage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.IEL.INT","Interrupteur électrique","031.20.CTV","Clapets coupe feu"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.LGA.LAN","Lanterne gaz extérieure","031.20.PCF","Porte coupe feu"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.PAR.PAR","Paratonnerres","031.30.EDE","Extraction désenfumage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.PBR.PRI","Prises de courant et boitiers de raccordement","031.30.SKD","Skydôme de désenfumage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.PDS.PRO","Projecteur de stade","031.30.TDE","Trappe de désenfumage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","020.40.SEM.SEC","Sèche-mains","031.40.BAU","Blocs autonomes pour éclairage d'urgence"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.50.CAC.CON","Contrôle d'accès","031.40.PEV","Plans d'évacuation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.50.CEN.COF","Coffret d'énergie","031.50.CAB","Câblages"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.50.CTE.CEN","Centrale d'alarme technique","031.50.DBG","Détecteurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.50.DIN.ANT","Anti-intrusion","031.50.DET","Détecteurs (type analogique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.50.VSE.VID","Vidéo surveillance extérieure","031.50.DPO","Détection présence d'eau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.50.VSI.VID","Vidéo surveillance intérieure","031.50.PAI","Panneaux d'alarme incendie (tableaux de report)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.AMA.AUT","Autocommutateur","031.50.SAI","Système d'alarme incendie (centrale"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.ATA.AUT","Automate","040.10.AFR","Armoires froides"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.AVI.MAG","Magnetoscope","040.10.ART","Armoires de remise en température"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.AVI.MON","Moniteur","040.10.AST","Armoires de stérilisation type cuisine"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.AVI.RET","Retroprojecteur transparent","040.10.BAL","Balances"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.AVI.TEL","Téléviseur","040.10.BAT","Batteurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.AVI.VID","Vidéo projecteur","040.10.BMA","Bain marie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.BBA.BAI","Baies de brassage","040.10.BRO","Broyeurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.DHE.DIS","Distribution d'heure (horloge)","040.10.CAV","Cave à vin"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.ESO.EQU","Equipements de sonorisation","040.10.CDS","Caniveaux de sol"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.INT.INT","Interphonie","040.10.CFR","Chambres Froides"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.PRJ.PRI","Prises RJ( 45.11","040.10.CHR","Chariots"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.SON.SON","Sonorisation de sécurité","040.10.CHU","Chauffes Assiettes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.SWI.COM","Commutateur Switch","040.10.CLE","Coupe légumes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.TEL.TEL","Téléphonie","040.10.COP","Compacteurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.TMM.TER","Terminaux Multi-Média","040.10.COV","Convoyeurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.TST.TRA","Transmetteur","040.10.CPR","Crêpière"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.60.VDI.VDI","VDI","040.10.CRR","Cellules de refroidissement rapide"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.70.GTC.SUP","Supervision GTC","040.10.CUI","Cuisson"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.70.RGC.REG","Régulation GTB","040.10.CUT","Cutters"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.70.SGT.SUP","Supervision GTB","040.10.DEI","Destructeur insectes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.80.DFE.DET","Détection Fuite d'eau","040.10.EPC","Eplucheurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.80.DFU.DET","Détection Fuel","040.10.ESS","Essoreuse à salade"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.80.DGA.COC","CO","040.10.FLM","Filmeuses"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.80.DGA.COL","CO","040.10.FON","Fontaines"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.80.DGA.GAZ","Gaz inflammable Gaz de Ville","040.10.FOR","Fours"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.80.DGA.NOL","CO","040.10.FRI","Friteuses"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.80.DHY.DET","Détection Hydrogène","040.10.GBA","Guichets à balancelle"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","030.90.STA.SUP","Supervision TAL","040.10.GDO","Grillades"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.BAS.BAC","Bac à sable","040.10.HOT","Hottes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.BIN.BAC","Bâche incendie","040.10.HYG","Hygiène"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.COC.COL","Colonnes chargées","040.10.KIT","Kitchenette"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.CRI.CON","Contrôle réglementaire Incendie","040.10.LAV","Lavage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.CSH.COL","Colonnes sèches","040.10.LBO","Lave bottes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.DPE.DET","Détecteur de présence d'eau","040.10.LCA","Lave cagettes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.EDY.ELE","Eléments dynamiques : surppresseur","040.10.LPC","Logiciels process Cuisine"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.ETI.CO2","CO2","040.10.MAG","Machines à glaçon"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.ETI.POU","Poudre","040.10.MAM","Marmites"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.ETI.PUL","Pulvérisation d'eau","040.10.MBL","Meubles de cuisine"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.EXI.EXT","Extinction automatique","040.10.MCA","Machine à café"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.MOE.MOU","Mousses extinctrice","040.10.MDC","Meubles caisse"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.PIN.POT","Poteaux d'incendie","040.10.MRE","Meuble réfrigéré"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.RIA.RIA","RIA","040.10.MTH","Meubles thermiques"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.SPG.SYS","Système de protection gaz","040.10.MXR","Mixeur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.10.SPR.SPR","Sprinklage","040.10.OBO","Ouvre boites"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.20.CTV.CLA","Clapets coupe feu","040.10.PAS","Pastocuiseurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.20.PCF.POR","Porte coupe feu","040.10.PID","Plaques à induction"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.30.EDE.EXT","Extraction désenfumage","040.10.PLG","Presses légumes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.30.SKD.EXM","Exutoire de fumées Commande mécanique","040.10.PRS","Présentoirs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.30.SKD.EXP","Exutoire de fumées Commande pneumatique","040.10.ROT","Rôtissoire"
