"Checkbox","Secteur_activite","Forme_juridique","Code_Activite_Compte","Libelle_Activite_Compte","Code_Centre","Libelle_Centre","Code_Region","Libelle_Region","Poste_Itinerant","Code_Nature","Libelle_Nature","Code_Nature_juridique_Client","Libelle_Nature_juridique_Client","Critere_SLA","Activite_Batiment","icone","Symptome_Reference","Parametre_Contrat_Type","Limite_Contrat_Type","Code_Domaine","Libelle_Domaine","Code_Sous-domaine","Libelle_Sous-domaine","Contractuel","Importance_Equipement","Criticite_Demande","Priorite_Espace","Code_Titre","Libelle_Titre","Langue","Outil_Energies","Code_Occupation","Libelle_Occupation ","Type_Operation","Zone_Astreinte","Type_Prestations_FM","Classification_Site","Statut_Equipement","Etat_Fonctionnement","Etat_Sante","Origine","Territoire","Maintenance_Type","Code_Sous_Famille","Libelle_Sous_Famille","Code_Famille","Libelle_Famille"
"","Finance","SNC","218","","Agence FM - Bourgogne Franche Comté","Agence FM - Bourgogne Franche Comté","","","","","","230","","","","","","","","080","Portes automatiques","031.30","","","","","","","","","","","","","Z16","","","","","","","NORD","","010.10.EMT.ECH","Echangeur multibarre","010.10.PBU","Pot à boue"
"","Food & Beverage","","203","","Agence FM - Picardie & Champagne","Agence FM - Picardie & Champagne","","","","","","231","","","","","","","","100","Hébergement","031.40","","","","","","","","","","","","","Z17","","","","","","","OUEST","","010.10.FMA.FIL","Filtre magnétique","010.10.PCE","Pompe Circuit EC"
"","Government","","217","","Agence FM - Grand Est","Agence FM - Grand Est","","","","","","232","","","","","","","","200","Propreté","031.50","","","","","","","","","","","","","Z18","","","","","","","SUD","","010.10.FTA.FIL","Filtre à tamis production chaleur","010.10.PGA","Pompes de gavage"
"","Healthcare","","219","","Agence FM - Nord","Agence FM - Nord","","","","","","233","","","","","","","","210","Gestion des Déchets","040.10","","","","","","","","","","","","","Z19","","","","","","","","","010.10.GMP.GRO","Groupe de maintien de pression","010.10.PSO","Panneau solaire thermique"
"","Hospitality","","","","Agence FM - PPP IDF hors Balard et TGI","Agence FM - PPP IDF hors Balard et TGI","","","","","","","","","","","","","","300","Espaces verts","042.10","","","","","","","","","","","","","Z20","","","","","","","","","010.10.GPJ.GRO","Groupe pompes jumelées EC","010.10.RAM","Contrôle réglementaire Chaudière/Combustion/Ramonage"
"","Insurance","","","","Agence FM - Balard","Agence FM - Balard","","","","","","","","","","","","","","400","Mobilier / Agencement","044.10","","","","","","","","","","","","","Z21","","","","","","","","","010.10.PBU.POT","Pot à boue","010.10.RCH","Récupérateur de chaleur"
"","Machinery","","","","Agence FM - TGI","Agence FM - TGI","","","","","","","","","","","","","","410","Second Œuvre","046.10","","","","","","","","","","","","","Z22","","","","","","","","","010.10.PCE.POM","Pompe Circuit EC","010.10.RDC","Réseaux de chauffage"
"","Manufacturing","","","","EQUANS Canada","EQUANS Canada","","","","","","","","","","","","","","500","Gros Œuvre","048.10","","","","","","","","","","","","","Z23","","","","","","","","","010.10.PGA.POM","Pompes de gavage","010.10.VDR","Vanne de régulation motorisée"
"","Media","","","","GTB France","GTB France","","","","","","","","","","","","","","510","Clos couvert","048.20","","","","","","","","","","","","","Z24","","","","","","","","","010.10.PSO.PAN","Panneau solaire thermique","010.10.VEX","Vase d'expansion"
"","Not For Profit","","","","Autres Centres","Autres Centres","","","","","","","","","","","","","","520","Voiries. Réseaux et Divers > à 1 m façade bâtiment","048.30","","","","","","","","","","","","","Z25","","","","","","","","","010.10.RAM.CON","Contrôle réglementaire Chaudière/Combustion/Ramonage","010.20.ACH","Armoire chauffante linge professionnel"
"","Other","","","","Autres Centres","Autres Centres","","","","","","","","","","","","","","600","Process industriel","048.40","","","","","","","","","","","","","Z26","","","","","","","","","010.10.RCH.REC","Récupérateur de chaleur","010.20.CEL","Convecteurs Electriques"
"","Recreation","","","","Agence AMT - St Etienne (G3SE)","Agence AMT - St Etienne (G3SE)","","","","","","","","","","","","","","900","SI Métiers","050.10","","","","","","","","","","","","","Z27","","","","","","","","","010.10.RDC.RES","Réseaux de chauffage","010.20.PLT","Plancher Thermique"
"","Retail","","","","Agence AMT - Vp (G3VP)","Agence AMT - Vp (G3VP)","","","","","","","","","","","","","","910","Gestion","052.10","","","","","","","","","","","","","Z28","","","","","","","","","010.10.VDR.VAN","Vanne de régulation motorisée","010.20.PRA","Panneaux radiants"
"","Shipping","","","","Agence AMT - Industrie (G3IN)","Agence AMT - Industrie (G3IN)","","","","","","","","","","","","","","","","052.20","","","","","","","","","","","","","Z29","","","","","","","","","010.10.VEX.VAS","Vase d'expansion","010.20.PRY","Panneaux Rayonnants"
"","Technology","","","","Agence AMT - Contrats Nationaux (G3CN)","Agence AMT - Contrats Nationaux (G3CN)","","","","","","","","","","","","","","","","052.30","","","","","","","","","","","","","Z30","","","","","","","","","010.20.ACH.ARM","Armoire chauffante linge professionnel","010.20.RAC","Rideaux d'air Chaud"
"","Telecommunications","","","","Agence AMT - Agence Culture Patrimoine & Evènementiel (G3ML)","Agence AMT - Agence Culture Patrimoine & Evènementiel (G3ML)","","","","","","","","","","","","","","","","052.40","","","","","","","","","","","","","Z31","","","","","","","","","010.20.CEL.CON","Convecteurs Electriques","010.20.RAD","Radiateurs"
"","Transportation","","","","Agence AMT - Tertiaire II (G3T2)","Agence AMT - Tertiaire II (G3T2)","","","","","","","","","","","","","","","","054.10","","","","","","","","","","","","","Z32","","","","","","","","","010.20.PLT.ECH","Eau chaude","010.20.SCH","Sèche-serviettes"
"","Utilities","","","","Agence AMT - Tertiaire I (G3T1)","Agence AMT - Tertiaire I (G3T1)","","","","","","","","","","","","","","","","054.20","","","","","","","","","","","","","Z33","","","","","","","","","010.20.PLT.ELE","Electrique","010.20.TRD","Tubes Radiants"
"","","","","","Agence AMT - Tertiaire Santé (G3AS)","Agence AMT - Tertiaire Santé (G3AS)","","","","","","","","","","","","","","","","060.10","","","","","","","","","","","","","Z34","","","","","","","","","010.20.PRA.ECH","Eau chaude","010.30.AAG","Analyseur d'air et de gaz"
"","","","","","Agence AMT - Applications Spécialisées (G3T3)","Agence AMT - Applications Spécialisées (G3T3)","","","","","","","","","","","","","","","","060.20","","","","","","","","","","","","","Z35","","","","","","","","","010.20.PRA.GAZ","Gaz","010.30.ACA","Armoires de climatisation autonomes"
"","","","","","Agence AMT - Lorraine (G3MZ)","Agence AMT - Lorraine (G3MZ)","","","","","","","","","","","","","","","","060.30","","","","","","","","","","","","","Z36","","","","","","","","","010.20.PRY.PAN","Panneaux Rayonnants","010.30.AEG","Armoires de Climatisation EG"
